Welcome to kof Version Alpha 1
CGame:Init SDL system
Common_ParseSection keyName Options.motif 
Common_ParseSection keyName Options.Difficulty 
Common_ParseSection keyName Options.Life 
Common_ParseSection keyName Options.Time 
Common_ParseSection keyName Options.GameSpeed 
Common_ParseSection keyName Options.Team.1VS2Life 
Common_ParseSection keyName Options.Team.LoseOnKO 
Common_ParseSection keyName Rules.GameType 
Common_ParseSection keyName Rules.Default.Attack.LifeToPowerMul 
Common_ParseSection keyName Rules.Default.GetHit.LifeToPowerMul 
Common_ParseSection keyName Rules.Super.TargetDefenceMul 
Common_ParseSection keyName Config.Player1 
Common_ParseSection keyName Config.Pal1 
Common_ParseSection keyName Config.Player2 
Common_ParseSection keyName Config.Pal2 
Common_ParseSection keyName Config.GameSpeed 
Common_ParseSection keyName Config.GameWidth 
Common_ParseSection keyName Config.GameHeight 
Common_ParseSection keyName Config.Language 
Common_ParseSection keyName Config.DrawShadows 
Common_ParseSection keyName Config.AfterImageMax 
Common_ParseSection keyName Config.LayeredSpriteMax 
Common_ParseSection keyName Config.SpriteDecompressionBufferSize 
Common_ParseSection keyName Config.ExplodMax 
Common_ParseSection keyName Config.SysExplodMax 
Common_ParseSection keyName Config.HelperMax 
Common_ParseSection keyName Config.PlayerProjectileMax 
Common_ParseSection keyName Config.FirstRun 
Common_ParseSection keyName Debug.Debug 
Common_ParseSection keyName Debug.AllowDebugMode 
Common_ParseSection keyName Debug.AllowDebugKeys 
Common_ParseSection keyName Debug.Speedup 
Common_ParseSection keyName Debug.StartStage 
Common_ParseSection keyName Video.Width 
Common_ParseSection keyName Video.Height 
Common_ParseSection keyName Video.Depth 
Common_ParseSection keyName Video.VRetrace 
Common_ParseSection keyName Video.FullScreen 
Common_ParseSection keyName Video.BlitMode 
Common_ParseSection keyName Video.RenderMode 
Common_ParseSection keyName Sound.Sound 
Common_ParseSection keyName Sound.SampleRate 
Common_ParseSection keyName Sound.BufferSize 
Common_ParseSection keyName Sound.StereoEffects 
Common_ParseSection keyName Sound.PanningWidth 
Common_ParseSection keyName Sound.ReverseStereo 
Common_ParseSection keyName Sound.WavChannels 
Common_ParseSection keyName Sound.MasterVolume 
Common_ParseSection keyName Sound.WavVolume 
Common_ParseSection keyName Sound.BGMVolume 
Common_ParseSection keyName Sound.SFXResampleMethod 
Common_ParseSection keyName Sound.SFXResampleQuality 
Common_ParseSection keyName Sound.BGMResampleQuality 
Common_ParseSection keyName Music.plugin 
Common_ParseSection keyName Music.rva 
Common_ParseSection keyName Music.extensions 
Common_ParseSection keyName Music.volume 
Common_ParseSection keyName Music.rva 
Common_ParseSection keyName Music.extensions 
Common_ParseSection keyName Music.volume 
Common_ParseSection keyName Music.plugin 
Common_ParseSection keyName Music.midivolume 
Common_ParseSection keyName Music.modvolume 
Common_ParseSection keyName Misc.PlayerCache 
Common_ParseSection keyName Misc.Precache 
Common_ParseSection keyName Misc.BufferedRead 
Common_ParseSection keyName Misc.UnloadSystem 
Common_ParseSection keyName Misc.SFXBackgroundMode 
Common_ParseSection keyName Misc.BGMBackgroundMode 
Common_ParseSection keyName Input.P1.UseKeyboard 
Common_ParseSection keyName Input.P2.UseKeyboard 
Common_ParseSection keyName Input.P1.Joystick.type 
Common_ParseSection keyName Input.P2.Joystick.type 
Common_ParseSection keyName P1_Keys.Jump 
Common_ParseSection keyName P1_Keys.Crouch 
Common_ParseSection keyName P1_Keys.Left 
Common_ParseSection keyName P1_Keys.Right 
Common_ParseSection keyName P1_Keys.A 
Common_ParseSection keyName P1_Keys.B 
Common_ParseSection keyName P1_Keys.C 
Common_ParseSection keyName P1_Keys.X 
Common_ParseSection keyName P1_Keys.Y 
Common_ParseSection keyName P1_Keys.Z 
Common_ParseSection keyName P1_Keys.Start 
Common_ParseSection keyName P2_Keys.Jump 
Common_ParseSection keyName P2_Keys.Crouch 
Common_ParseSection keyName P2_Keys.Left 
Common_ParseSection keyName P2_Keys.Right 
Common_ParseSection keyName P2_Keys.A 
Common_ParseSection keyName P2_Keys.B 
Common_ParseSection keyName P2_Keys.C 
Common_ParseSection keyName P2_Keys.X 
Common_ParseSection keyName P2_Keys.Y 
Common_ParseSection keyName P2_Keys.Z 
Common_ParseSection keyName P2_Keys.Start 
Common_ParseSection keyName P1_Joystick.Jump 
Common_ParseSection keyName P1_Joystick.Crouch 
Common_ParseSection keyName P1_Joystick.Left 
Common_ParseSection keyName P1_Joystick.Right 
Common_ParseSection keyName P1_Joystick.A 
Common_ParseSection keyName P1_Joystick.B 
Common_ParseSection keyName P1_Joystick.C 
Common_ParseSection keyName P1_Joystick.X 
Common_ParseSection keyName P1_Joystick.Y 
Common_ParseSection keyName P1_Joystick.Z 
Common_ParseSection keyName P1_Joystick.Start 
Common_ParseSection keyName P2_Joystick.Jump 
Common_ParseSection keyName P2_Joystick.Crouch 
Common_ParseSection keyName P2_Joystick.Left 
Common_ParseSection keyName P2_Joystick.Right 
Common_ParseSection keyName P2_Joystick.A 
Common_ParseSection keyName P2_Joystick.B 
Common_ParseSection keyName P2_Joystick.C 
Common_ParseSection keyName P2_Joystick.X 
Common_ParseSection keyName P2_Joystick.Y 
Common_ParseSection keyName P2_Joystick.Z 
Common_ParseSection keyName P2_Joystick.Start 
Common_ParseSection keyName InputUI.NormalBtnScale 
Common_ParseSection keyName InputUI.NormalAnchor 
Common_ParseSection keyName InputUI.JumpIcon 
Common_ParseSection keyName InputUI.CrouchIcon 
Common_ParseSection keyName InputUI.LeftIcon 
Common_ParseSection keyName InputUI.RightIcon 
Common_ParseSection keyName InputUI.AIcon 
Common_ParseSection keyName InputUI.BIcon 
Common_ParseSection keyName InputUI.CIcon 
Common_ParseSection keyName InputUI.XIcon 
Common_ParseSection keyName InputUI.YIcon 
Common_ParseSection keyName InputUI.ZIcon 
Common_ParseSection keyName InputUI.StartIcon 
Common_ParseSection keyName InputUI.APos 
Common_ParseSection keyName InputUI.BPos 
Common_ParseSection keyName InputUI.CPos 
Common_ParseSection keyName InputUI.XPos 
Common_ParseSection keyName InputUI.YPos 
Common_ParseSection keyName InputUI.ZPos 
Common_ParseSection keyName InputUI.choose 
Common_ParseSection keyName InputUI.debug 
Common_ParseSection keyName InputUI.clsn 
Common_ParseSection keyName InputUI.StartPos 
Common_ParseSection keyName InputUI.JoystickAnchor 
Common_ParseSection keyName InputUI.JoystickScale 
Common_ParseSection keyName InputUI.JoystickBack 
Common_ParseSection keyName InputUI.JoystickIcon 
Common_ParseSection keyName InputUI.JoystickPos 
Common_ParseSection keyName InputUI.JoystickChangeRange 
Common_ParseSection keyName PlayerList.PlayerGoundPosY 
Common_ParseSection keyName PlayerList.PlayerCount 
Common_ParseSection keyName PlayerList.selectBack 
Common_ParseSection keyName PlayerList.PlayerPos1 
Common_ParseSection keyName PlayerList.PlayerPos2 
Common_ParseSection keyName PlayerList.PlayerPos3 
Common_ParseSection keyName PlayerList.PlayerPos4 
Common_ParseSection keyName PlayerList.PlayerPos5 
Common_ParseSection keyName PlayerList.PlayerPos6 
Common_ParseSection keyName PlayerList.PlayerPos7 
Common_ParseSection keyName PlayerList.PlayerPos8 
Common_ParseSection keyName PlayerList.PlayerPos9 
Common_ParseSection keyName PlayerList.PlayerPos10 
Common_ParseSection keyName PlayerList.Player1 
Common_ParseSection keyName PlayerList.Player2 
Common_ParseSection keyName PlayerList.Player3 
Common_ParseSection keyName PlayerList.Player4 
Common_ParseSection keyName Video.IsStretch 
Common_ParseSection keyName Music.back 
Common_ParseSection keyName Rules.SpeedFrictionWhenPush 
Common_ParseSection keyName Rules.IsLogCommand 
Common_ParseSection keyName Rules.IsPosChangedByScale 
Common_ParseSection keyName Rules.ChooseSceneScale 
Common_ParseSection keyName Rules.FightScale 
Common_ParseSection keyName Rules.MugenScale 
config's count 186
CSDLManager:: Init()
CVideoSystem::InitSystem()
CSDLManager::VideoSystem Init OK
Opened audio at 22050 Hz 16 bit mono (LE), 4096 bytes audio buffer

CSDLManager::m_AudioSystem Init OK
GetPngImage ui/bbtn.png
GetPngImage ui/dbtn.png
GetPngImage ui/abbtn.png
GetPngImage ui/abtn.png
GetPngImage ui/cbtn.png
GetPngImage ui/cdbtn.png
GetPngImage ui/button.png
GetPngImage ui/button.png
GetPngImage ui/button.png
GetPngImage ui/button.png
GetPngImage ui/joystickback.png
GetPngImage ui/button.png
 CSystemConfig::ParseCfg data/system.def 
Common_ParseSection keyName Info.name 
Common_ParseSection keyName Info.author 
Common_ParseSection keyName Files.spr 
Common_ParseSection keyName Files.snd 
Common_ParseSection keyName Files.logo.storyboard 
Common_ParseSection keyName Files.intro.storyboard 
Common_ParseSection keyName Files.select 
Common_ParseSection keyName Files.fight 
Common_ParseSection keyName Files.font1 
Common_ParseSection keyName Files.font2 
Common_ParseSection keyName Files.font3 
Common_ParseSection keyName Files.font4 
Common_ParseSection keyName Files.font5 
Common_ParseSection keyName Files.font6 
Common_ParseSection keyName Files.font7 
Common_ParseSection keyName Files.font8 
Common_ParseSection keyName Files.font9 
Common_ParseSection keyName Music.title.bgm 
Parser error:in file data/system.def at line 49:token:/ error:arg error,need ,
Common_ParseSection keyName Music.title.bgm.loop 
Common_ParseSection keyName Music.select.bgm 
Parser error:in file data/system.def at line 52:token:/ error:arg error,need ,
Common_ParseSection keyName Music.select.bgm.loop 
Common_ParseSection keyName Music.vs.bgm 
Parser error:in file data/system.def at line 55:token:/ error:arg error,need ,
Common_ParseSection keyName Music.vs.bgm.loop 
Common_ParseSection keyName TitleInfo.fadein.time 
Common_ParseSection keyName TitleInfo.fadeout.time 
Common_ParseSection keyName TitleInfo.menu.pos 
Common_ParseSection keyName TitleInfo.menu.item.font 
Parser error:in file data/system.def at line 64:token:, error:arg is too much!
Common_ParseSection keyName TitleInfo.menu.item.active.font 
Parser error:in file data/system.def at line 65:token:, error:arg is too much!
Common_ParseSection keyName TitleInfo.menu.item.spacing 
Common_ParseSection keyName TitleInfo.menu.itemname.arcade 
Common_ParseSection keyName TitleInfo.menu.itemname.versus 
Common_ParseSection keyName TitleInfo.menu.itemname.teamarcade 
Common_ParseSection keyName TitleInfo.menu.itemname.teamversus 
Common_ParseSection keyName TitleInfo.menu.itemname.teamcoop 
Common_ParseSection keyName TitleInfo.menu.itemname.survival 
Common_ParseSection keyName TitleInfo.menu.itemname.survivalcoop 
Common_ParseSection keyName TitleInfo.menu.itemname.training 
Common_ParseSection keyName TitleInfo.menu.itemname.watch 
Common_ParseSection keyName TitleInfo.menu.itemname.options 
Common_ParseSection keyName TitleInfo.menu.itemname.exit 
Common_ParseSection keyName TitleInfo.menu.window.margins.y 
Common_ParseSection keyName TitleInfo.menu.window.visibleitems 
Common_ParseSection keyName TitleInfo.menu.boxcursor.visible 
Common_ParseSection keyName TitleInfo.menu.boxcursor.coords 
Parser error:in file data/system.def at line 86:token:, error:arg is too much!
Common_ParseSection keyName TitleInfo.cursor.move.snd 
Common_ParseSection keyName TitleInfo.cursor.done.snd 
Common_ParseSection keyName TitleInfo.cancel.snd 
Common_ParseSection keyName SelectInfo.fadein.time 
Common_ParseSection keyName SelectInfo.fadeout.time 
Common_ParseSection keyName SelectInfo.rows 
Common_ParseSection keyName SelectInfo.columns 
Common_ParseSection keyName SelectInfo.wrapping 
Common_ParseSection keyName SelectInfo.pos 
Common_ParseSection keyName SelectInfo.showEmptyBoxes 
Common_ParseSection keyName SelectInfo.moveOverEmptyBoxes 
Common_ParseSection keyName SelectInfo.cell.size 
Common_ParseSection keyName SelectInfo.cell.spacing 
Common_ParseSection keyName SelectInfo.cell.bg.spr 
Common_ParseSection keyName SelectInfo.cell.random.spr 
Common_ParseSection keyName SelectInfo.cell.random.switchtime 
